"Product title","Quantity ordered","Net sales","Orders"
"High Mountain Oolong Tea, 12 oz",126,2971.19,109
"Jasmine Green Tea, 100 Count",121,3145.23,119
"Ashwagandha Coffee (3+3 Packs with 7 Free Gifts worth $48 Included)",117,13428.8,117
"Turmeric Powder, 2.47 Oz, 70g",114,503.69,78
"Imperial Earl Grey White Tea, 1.76 oz",112,2360.69,58
"Clove Whole, 1.76 Oz, 50g",111,650.06,82
"Assorted Green Teas Sampler, 5 Variants",111,1269.8,102
"Hearty Hibiscus Herbal Tea 100 Count",109,1699.93,97
"Chamomile Mint Citrus Green Tea, 30 Count",109,1380.47,94
"2026 Jungpana Premium Darjeeling First Flush Black Tea DJ FF BT/ 100g",108,3127.98,73
"Moringa Powder, 2.47 Oz, 70g",107,691.05,82
"Weekend in London, Gift Set, 9 Teas",107,2496.79,91
"Green Tea Loose Leaf Sampler, 10 Teas",103,2079.94,99
"Turmeric Citrus Ginger Herbal Tea 18 Count",102,728.09,70
"Ashwagandha Powder, 2.47 Oz, 70g",102,717.64,85
"Silver Needle Sparkle White Tea, 1.76 oz",99,2108.14,74
"India's Original Masala Chai Tea, 30 Count",97,1139.63,92
"Christmas Breakfast Gift Set, 9 Teas",96,2946.9,82
"Earl Grey Black Tea, 30 Count",95,1200.32,75
"Organic Himalayan Green Tea, 30 Count",89,1144.12,58
"2025 Castleton Premium Darjeeling First Flush Black Tea DJ 42",87,2050.12,52
"Chamomile Mint Citrus Green Tea, 100 Count",87,2156.43,74
"Maharaja Earl Grey Oolong Tea, 3.53 oz",85,1155.28,68
"2026 Arya Diamond Darjeeling First Flush Black Tea DJ FF BT/ 50g",83,3213.25,61
"Decaf Himalayan Green Tea, 100 Count",81,1561.12,69
"2025 Castleton Moonlight Darjeeling Second Flush Black Tea DJ 373",81,2134.64,62
"Assorted Tea Loose Leaf Sampler, 10 Teas",81,1566.82,45
"Ashwagandha Coffee (80 Servings)",81,5381.47,81
"High Mountain Oolong Tea, 100 Count",78,1718.64,66
"Hibiscus Cranberry Iced Tea | 26 Pitcher Tea Bags",74,1074.43,58
"Oolong Tea Loose Leaf Sampler, 5 Teas",74,1298.29,71
"2025 Okayti Premium Darjeeling First Flush Black Tea OKT 07",73,1690.59,59
"Mint Melody Green Tea, 30 Count",73,917.31,63
"2025 Jungpana Premium Darjeeling First Flush Black Tea DJ 11",73,1715.58,55
"2025 Margaret's Hope Premium Darjeeling First Flush Black Tea DJ 42",72,1872.23,57
"White Mountain Darjeeling Oolong Tea, 1.76 oz",71,1224.58,50
"High Mountain Oolong Tea, 30 Count",70,937.12,58
"Turmeric Matcha Green Tea Powder, 1.76 oz",70,619.31,61
"Moringa 1100 mg High Strength Capsules",70,1965.42,69
"2026 Giddapahar Premium Darjeeling First Flush Tea DJ FF BT/ 100g",69,1928.38,44
"World of Tea Gift Sampler, 20 Teas",69,2097.58,64
"Black Friday Only | Assorted Selection Tea Sampler, 15 Variants With Free Shimmer Cup",68,709.98,33
"Glow, Tea Gift Set, 6 Teas",65,1628.92,61
"Moringa Leaf Herbal Tea, 100 Count",65,973.94,60
"Blue Mountain Nilgiri White Tea, 1.76 oz",61,982.29,51
"English Breakfast Black Tea, 30 Count",61,770.65,58
