"Product title","Net sales","Quantity ordered","Orders"
"Green Tea Loose Leaf Sampler, 10 Teas",2079.94,103,99
"2025 Castleton Premium Darjeeling First Flush Black Tea DJ 42",2050.12,87,52
"Turmeric Tea Tales Gift Set, 6 Teas",1970.7,57,49
"Moringa 1100 mg High Strength Capsules",1965.42,70,69
"Vanilla Spiced Masala Chai Tea, 30 Count",1953.79,168,158
"2026 Giddapahar Premium Darjeeling First Flush Tea DJ FF BT/ 100g",1928.38,69,44
"Turmeric Ginger Herbal Tea Tisane, 30 Count",1901.29,174,138
"2025 Margaret's Hope Premium Darjeeling First Flush Black Tea DJ 42",1872.23,72,57
"Butterfly Pea Flower Herbal Tea, 40 Count",1815.69,181,146
"Tea Infuser & Spoon Trio Set",1815.52,174,172
"High Mountain Oolong Tea, 3.53 oz",1813.85,147,128
"High Mountain Oolong Tea, 100 Count",1718.64,78,66
"2025 Jungpana Premium Darjeeling First Flush Black Tea DJ 11",1715.58,73,55
"Hearty Hibiscus Herbal Tea 100 Count",1699.93,109,97
"2025 Okayti Premium Darjeeling First Flush Black Tea OKT 07",1690.59,73,59
"Himalayan Green Tea, 3.53 oz",1667.36,133,113
"Blue Mountain Nilgiri Oolong Tea, 1.76 oz",1648.82,134,79
"Glow, Tea Gift Set, 6 Teas",1628.92,65,61
"Assorted Tea Loose Leaf Sampler, 10 Teas",1566.82,81,45
"Decaf Himalayan Green Tea, 100 Count",1561.12,81,69
"2025 Halmari Clonal Assam Second Flush Black Tea 533",1444.31,56,52
"2025 Arya Diamond Darjeeling First Flush Black Tea Ex 31",1413.66,42,31
"Chamomile Mint Citrus Green Tea, 30 Count",1380.47,109,94
"Turmeric Tea Bundle, Set of 3",1365.15,25,25
"Triphala High Strength with Amla, Bibhitaki, Haritaki Extract",1320.21,47,45
"Oolong Tea Loose Leaf Sampler, 5 Teas",1298.29,74,71
"Assorted Green Teas Sampler, 5 Variants",1269.8,111,102
"Mint Melody Green Tea, 100 Count",1236.71,54,47
"White Mountain Darjeeling Oolong Tea, 1.76 oz",1224.58,71,50
"Earl Grey Black Tea, 30 Count",1200.32,95,75
"Darjeeling Teas Sampler, 10 Teas",1194.68,50,49
"Ashwagandha Coffee (120 Servings)",1183.85,15,15
"Berberine 1200 mg with Cinnamon Extract & Milk Thistle",1170.33,30,28
"Psyllium Husk 1820mg with Probiotics (2 Billion CFU)",1169.03,39,34
"2025 Margaret's Hope Premium Darjeeling Second Flush Black Tea  DJ 331 (Pack of 4)",1158.41,16,15
"Maharaja Earl Grey Oolong Tea, 3.53 oz",1155.28,85,68
"Organic Himalayan Green Tea, 30 Count",1144.12,89,58
"India's Original Masala Chai Tea, 30 Count",1139.63,97,92
"Turmeric Tea Variety Pack, 20 Teas",1126.79,202,128
"Ashwagandha Coffee (40 Servings)",1110.78,32,29
"Hibiscus Cranberry Iced Tea | 26 Pitcher Tea Bags",1074.43,74,58
"2025 Jungpana Muscatel Darjeeling Second Flush Black Tea DJ 120 (Pack of 4)",1055.48,14,14
"2025 Barnesbeg Premium Darjeeling First Flush Black Tea DJ 10",1042.17,53,39
"Stainless Steel Classic Tea Infuser, 3.9 Inches",1006.95,933,916
"Blue Mountain Nilgiri White Tea, 1.76 oz",982.29,61,51
"2026 Castleton Premium Darjeeling First Flush Black Tea DJ FF BT-100g",977.69,34,12
"Moringa Leaf Herbal Tea, 100 Count",973.94,65,60
"High Mountain Oolong Tea, 30 Count",937.12,70,58
"Mint Melody Green Tea, 30 Count",917.31,73,63
"White Teas Gift Sampler, 4 Teas",860.47,44,43
"Zingy Ginger Herbal Tea, 100 Count",846.78,56,50
"Ashwagandha Coffee 3 Packs",799.9,10,10
"Ginger Powder,2.47 Oz, 70g",798.26,164,118
"Sprightly Spearmint Herbal Tea, 100 Count",797.85,56,49
"Garlic Powder,2.47 Oz, 70g",792.81,179,125
"English Breakfast Black Tea, 30 Count",770.65,61,58
"Turmeric Citrus Ginger Herbal Tea 18 Count",728.09,102,70
"World Tea Sampler + Free GIFTS",718.89,13,13
"Ashwagandha Powder, 2.47 Oz, 70g",717.64,102,85
"2025 Giddapahar Premium Darjeeling First Flush Black Tea DJ 11",714.73,31,23
"Weekend in New York, Gift Set, 9 Teas",713.45,25,25
"Black Friday Only | Assorted Selection Tea Sampler, 15 Variants With Free Shimmer Cup",709.98,68,33
"Moringa Powder, 2.47 Oz, 70g",691.05,107,82
"Clove Whole, 1.76 Oz, 50g",650.06,111,82
"Turmeric Matcha Green Tea Powder, 1.76 oz",619.31,70,61
"2025 Giddapahar Classic Darjeeling Second Flush Black Tea DJ 74 (Pack of 4)",587.8,5,5
"Black Tea Bundle, Set of 4",556.4,11,10
"Black Friday Only | Classic Tea Sampler, Gift Set, 24 Teas With Free Shimmer Cup",546.39,39,28
"20 Teas Loose Leaf Sampler | Buy 1 Get 1 Free",539.9,10,10
"Advent Calendar Tea Gift Set, 24 Teas",522.31,23,14
"Lychee Rose Iced Tea | 26 Pitcher Tea Bags",520.19,30,27
"2026 Jungpana Premium Darjeeling First Flush Black Tea DJ FF BT-100g/Pack of 4",509.45,5,5
"Turmeric Powder, 2.47 Oz, 70g",503.69,114,78
"Ashwagandha Coffee - 80 Servings",479.92,8,8
"Chai Tea Bundle, Set of 4",471.31,12,12
"Best Seller Bundle, Set of 4",448.35,6,6
"Christmas Tea Gift Set, 9 Individually Wrapped Tea Bags",438.23,37,25
"2025 Halmari Clonal Assam Second Flush Black Tea 533 (Pack of 4)",436.65,4,4
"Cardamom Masala Chai Tea, 30 Count",435.17,34,33
"2026 Margaret's Hope Premium Darjeeling First Flush Black Tea-100g",434.85,15,10
"2026 Arya Diamond Darjeeling First Flush Black Tea DJ FF BT/ Pack of 4",417.57,3,2
"Cosmos Tea Cup (250ml)",416.94,32,23
"Turmeric Ashwagandha Herbal Tea, 18 Count",400.88,58,46
"Bacopa 1000 mg High Strength Capsules",395.42,13,12
"Drift Mug for Grandma, Insulated, 10.1 Oz, 300ml",381.31,31,27
"Cinnamon Powder, 2.47 Oz, 70g",365.47,51,45
"Green Tea Bundle, Set of 4",345,5,5
"2025 Castleton Moonlight Darjeeling Second Flush Black Tea DJ 373 (Pack of 4)",335.88,3,3
"2026 Margaret's Hope Moonlight Darjeeling First Flush Black Tea-50g",327.53,8,7
"Shatavari 1000mg High Strength",322.94,10,9
"Turmeric Ginger Herbal Tea 18 Count",317.59,52,36
"Turmeric Ginger with 1500mg Curcuminoids",313.9,10,10
"Shimmer, Borosilicate Double-Walled Teacup",310.86,655,651
"Insulated Stainless Steel Cruise Tumbler (Black)",300.91,244,242
"Black Friday Only | Foldable Advent Calendar Tea Gift, 24 Teas, 1.69 Oz, 48g With Free Shimmer Cup",276.35,16,11
"Ashwagandha Coffee 6 Packs (BUY 3 GET 3 FREE)",239.98,2,2
"Black Pepper Powder, 2.47 Oz, 70g",212.75,33,25
"VAHDAM® Signature Frother",195,22,22
"2026 Okayti Premium Darjeeling First Flush Black Tea DJ FF BT-100g",186.23,7,7
"Halloween Tea Assortment, 9 Teas",155.92,11,9
"2026 Barnesbeg Premium Darjeeling First Flush Black Tea FF BT-100g",155.19,7,7
"Halloween Mug, Insulated, 11.8 Oz, 350ml (Black)",145.92,8,6
"Black Friday Offer | Assorted Tea Bags Sampler, (40 Pyramid Tea Bags) With Free Shimmer Cup",134.94,6,6
"Drift Mug for Teacher, Insulated, 10.1 Oz, 300ml",130.67,15,13
"2026 Badamtam Premium Darjeeling First Flush Black Tea-100g",127.35,5,5
"Amla Powder, 2.47 Oz, 70g",116.66,15,12
